Unnamed: 0,question,querry
0,Show all employees in the IT department.,SELECT * FROM employees WHERE department = 'IT';
1,What is the average salary in the HR team?,SELECT AVG(salary) FROM employees WHERE department = 'HR';
2,List names of employees older than 30.,SELECT name FROM employees WHERE age > 30;
3,Count how many employees are in Finance.,SELECT COUNT(*) FROM employees WHERE department = 'Finance';
4,Show the employee with the highest salary.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
5,List employees earning more than 25000.,SELECT * FROM employees WHERE salary > 25000;
6,What is the total salary of all employees?,SELECT SUM(salary) FROM employees;
7,List all departments with employees.,SELECT DISTINCT department FROM employees;
8,Who is the youngest employee?,SELECT * FROM employees ORDER BY age ASC LIMIT 1;
9,Show names and departments of employees.,"SELECT name, department FROM employees;"
10,List the employees in the IT department whose salary is greater than 20000.,SELECT * FROM employees WHERE department = 'IT' AND salary > 20000;
11,Show the names and salaries of employees who are younger than 28.,"SELECT name, salary FROM employees WHERE age < 28;"
12,What is the average age of employees in Marketing?,SELECT AVG(age) FROM employees WHERE department = 'Marketing';
13,Find employees with a salary between 20000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 20000 AND 30000;
14,Show employees from the HR department with a salary greater than 20000.,SELECT * FROM employees WHERE department = 'HR' AND salary > 20000;
15,How many employees are there in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
16,List all employees' names and ages who are above 30 years old.,"SELECT name, age FROM employees WHERE age > 30;"
17,Show employees in the Marketing department ordered by salary in ascending order.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC;
18,Find the employee(s) with the lowest salary.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
19,Show the department and average salary of each department.,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
20,List all employees' names who have a salary below 20000.,SELECT name FROM employees WHERE salary < 20000;
21,Show the employee(s) with the lowest salary.,SELECT * FROM employees WHERE salary = (SELECT MIN(salary) FROM employees);
22,Show the names and salaries of employees who are younger than 28.,"SELECT name, salary FROM employees WHERE age < 28;"
23,What is the average age of employees in Marketing?,SELECT AVG(age) FROM employees WHERE department = 'Marketing';
24,Find employees with a salary between 20000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 20000 AND 30000;
25,Show employees from the HR department with a salary greater than 20000.,SELECT * FROM employees WHERE department = 'HR' AND salary > 20000;
26,How many employees are there in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
27,List all employees' names and ages who are above 30 years old.,"SELECT name, age FROM employees WHERE age > 30;"
28,Show employees in the Marketing department ordered by salary in ascending order.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC;
29,Find the employee(s) with the lowest salary.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
30,Show the department and average salary of each department.,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
31,List all employees' names who have a salary below 20000.,SELECT name FROM employees WHERE salary < 20000;
,,
,Show all employees in the HR department.,SELECT * FROM employees WHERE department = 'HR';
,What is the average salary in the IT department?,SELECT AVG(salary) FROM employees WHERE department = 'IT';
,List names of employees earning more than 20000.,SELECT name FROM employees WHERE salary > 20000;
,Count how many employees are in Finance.,SELECT COUNT(*) FROM employees WHERE department = 'Finance';
,Show the employee with the highest salary.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,List all employees' names and ages.,"SELECT name, age FROM employees;"
,What is the average age of employees in Marketing?,SELECT AVG(age) FROM employees WHERE department = 'Marketing';
,List employees with salary between 20000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 20000 AND 30000;
,Show employees from the HR department with a salary above 15000.,SELECT * FROM employees WHERE department = 'HR' AND salary > 15000;
,How many employees are there in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
,Find employees with a salary between 18000 and 25000.,SELECT * FROM employees WHERE salary BETWEEN 18000 AND 25000;
,Show the names and salaries of employees who are older than 28.,"SELECT name, salary FROM employees WHERE age > 28;"
,List employees from Finance department earning more than 20000.,SELECT * FROM employees WHERE department = 'Finance' AND salary > 20000;
,Show the department and average salary of each department.,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
,Show names of employees who are older than 30.,SELECT name FROM employees WHERE age > 30;
,,
,Show all employees in the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing';
,What is the total salary of all employees?,SELECT SUM(salary) FROM employees;
,List employees who are younger than 25.,SELECT * FROM employees WHERE age < 25;
,Show employees with a salary above 30000.,SELECT * FROM employees WHERE salary > 30000;
,List employees who are older than 30 and earn more than 20000.,SELECT * FROM employees WHERE age > 30 AND salary > 20000;
,Show names of employees who work in both HR and IT departments.,"SELECT name FROM employees WHERE department IN ('HR', 'IT');"
,Find the employee with the lowest salary.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,List all employees who have a salary between 15000 and 25000.,SELECT * FROM employees WHERE salary BETWEEN 15000 AND 25000;
,Show employees in the IT department with salaries less than 30000.,SELECT * FROM employees WHERE department = 'IT' AND salary < 30000;
,How many employees have a salary above 20000?,SELECT COUNT(*) FROM employees WHERE salary > 20000;
,List names of employees who are in the HR department and older than 25.,SELECT name FROM employees WHERE department = 'HR' AND age > 25;
,Show employees who are not in the Finance department.,SELECT * FROM employees WHERE department != 'Finance';
,Find the employee with the highest salary in the IT department.,SELECT * FROM employees WHERE department = 'IT' ORDER BY salary DESC LIMIT 1;
,List all unique departments in the company.,SELECT DISTINCT department FROM employees;
,Show names and salaries of employees who are younger than 30.,"SELECT name, salary FROM employees WHERE age < 30;"
,Show the names of employees who have a salary of 25000.,SELECT name FROM employees WHERE salary = 25000;
,Show employees in the HR department with a salary less than 20000.,SELECT * FROM employees WHERE department = 'HR' AND salary < 20000;
,Count how many employees are older than 25 in the IT department.,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 25;
,List the department with the highest average salary.,SELECT department FROM employees GROUP BY department ORDER BY AVG(salary) DESC LIMIT 1;
,Show the total salary of employees in the Marketing department.,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,,
,Display all workers from the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing';
,What is the combined salary of all employees in the company?,SELECT SUM(salary) FROM employees;
,List all employees younger than 25 years old.,SELECT * FROM employees WHERE age < 25;
,Show employees who earn above 30000.,SELECT * FROM employees WHERE salary > 30000;
,List employees over 30 years of age with salaries above 20000.,SELECT * FROM employees WHERE age > 30 AND salary > 20000;
,Show employees working in both the HR and IT departments.,"SELECT name FROM employees WHERE department IN ('HR', 'IT');"
,Identify the employee with the lowest pay.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,Display employees whose salary is between 15000 and 25000.,SELECT * FROM employees WHERE salary BETWEEN 15000 AND 25000;
,Show employees in the IT department with a salary below 30000.,SELECT * FROM employees WHERE department = 'IT' AND salary < 30000;
,How many employees earn more than 20000?,SELECT COUNT(*) FROM employees WHERE salary > 20000;
,Show names of HR employees who are over 25 years old.,SELECT name FROM employees WHERE department = 'HR' AND age > 25;
,Display employees who are not part of the Finance team.,SELECT * FROM employees WHERE department != 'Finance';
,Find the highest-paid employee in the IT department.,SELECT * FROM employees WHERE department = 'IT' ORDER BY salary DESC LIMIT 1;
,List the different departments within the organization.,SELECT DISTINCT department FROM employees;
,Show employees younger than 30 with their salary details.,"SELECT name, salary FROM employees WHERE age < 30;"
,Retrieve the names of employees who earn exactly 25000.,SELECT name FROM employees WHERE salary = 25000;
